node_id	best_path
E115_Limb_mesenchyme_prog	E115_Limb_mesenchyme_prog,E105_Limb_mesenchyme_prog,E95_Limb_mesenchyme_prog,E85_Intermediate_mesoderm,E825_Intermediate_mesoderm,E8_Intermediate_mesoderm,E775_Intermediate_mesoderm,E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E135_Splanchnic_mesoderm	E135_Splanchnic_mesoderm,E125_Splanchnic_mesoderm,E115_Splanchnic_mesoderm,E105_Splanchnic_mesoderm,E95_Splanchnic_mesoderm,E85_Splanchnic_mesoderm,E825_Splanchnic_mesoderm,E8_Splanchnic_mesoderm,E775_Splanchnic_mesoderm,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E105_Paraxial_mesoderm_B	E105_Paraxial_mesoderm_B,E95_Paraxial_mesoderm_B,E85_Paraxial_mesoderm_B,E825_Paraxial_mesoderm_B,E8_Paraxial_mesoderm_B,E775_Paraxial_mesoderm_B,E75_Paraxial_mesoderm_B,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E85_Forebrain_Midbrain	E85_Forebrain_Midbrain,E825_Forebrain_Midbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E825_Paraxial_mesoderm_A	E825_Paraxial_mesoderm_A,E8_Paraxial_mesoderm_A,E775_Paraxial_mesoderm_A,E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E85_Neural_crest	E85_Neural_crest,E825_Neural_crest,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E105_Granule_neurons	E105_Granule_neurons,E95_Neuron_prog,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E85_Gut	E85_Gut,E825_Gut,E8_Gut,E775_Gut,E75_Def_endoderm,E725_Def_endoderm,E7_Anterior_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast
E125_Intermediate_mesoderm	E125_Intermediate_mesoderm,E115_Intermediate_mesoderm,E105_Intermediate_mesoderm,E95_Intermediate_mesoderm,E85_Splanchnic_mesoderm,E825_Splanchnic_mesoderm,E8_Splanchnic_mesoderm,E775_Splanchnic_mesoderm,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
E135_Wnt8b_positive_cell_prog	E135_Wnt8b_positive_cell_prog,E125_Wnt8b_positive_cell_prog,E115_Wnt8b_positive_cell_prog,E105_Wnt8b_positive_cell_prog,E95_Wnt8b_positive_cell_prog,E85_Forebrain_Midbrain,E825_Forebrain_Midbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast
E75_Blood_prog	E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast
